Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,277.510010,278.730011,270.600006,271.380005,266.156311,4592500
2017-12-04,276.160004,281.829987,276.000000,277.970001,272.619415,5523000
2017-12-05,279.010010,279.440002,274.859985,275.540009,270.236176,2806100
2017-12-06,276.579987,279.140015,274.000000,278.269989,272.913666,2538100
2017-12-07,282.809998,284.790009,277.799988,281.970001,276.542450,4264400
2017-12-08,285.010010,287.320007,283.559998,285.899994,280.396759,4440500
2017-12-11,286.209991,286.489990,279.899994,283.160004,277.709534,4065200
2017-12-12,291.339996,292.799988,287.720001,289.940002,284.358978,5517600
2017-12-13,290.500000,295.850006,289.700012,291.839996,286.222443,5003300
2017-12-14,293.350006,296.820007,292.600006,293.880005,288.223206,3913400
2017-12-15,295.869995,297.369995,293.019989,293.940002,288.282013,6933500
2017-12-18,296.000000,297.140015,294.519989,296.140015,290.439728,2901600
2017-12-19,296.500000,297.579987,294.179993,297.250000,291.528320,2728400
2017-12-20,298.700012,299.329987,297.109985,297.899994,292.165802,2533700
2017-12-21,298.049988,298.390015,294.130005,295.029999,289.351044,5398300
2017-12-22,296.329987,296.519989,293.010010,295.100006,289.419678,2257400
2017-12-26,295.540009,297.440002,294.649994,295.359985,289.674683,1394700
2017-12-27,296.410004,296.799988,294.799988,295.619995,289.929688,1447800
2017-12-28,295.809998,296.989990,294.739990,296.350006,290.645660,1436800
2017-12-29,296.940002,297.299988,294.829987,294.910004,289.233368,1824600
2018-01-02,295.750000,296.989990,295.399994,296.839996,291.126221,2978900
2018-01-03,295.940002,298.500000,295.470001,297.799988,292.067719,3211200
2018-01-04,297.940002,298.420013,295.470001,296.670013,290.959503,4171700
2018-01-05,296.769989,308.890015,296.720001,308.839996,302.895233,6177700
2018-01-08,308.660004,310.859985,305.750000,310.149994,304.179993,4124900
2018-01-09,310.589996,319.910004,310.489990,318.429993,312.300598,5641300
2018-01-10,317.489990,322.149994,315.500000,320.260010,314.095428,4479300
2018-01-11,322.130005,328.399994,321.190002,328.119995,321.804108,4635300
2018-01-12,330.380005,336.880005,330.380005,336.209991,329.738373,6559300
2018-01-16,339.899994,347.730011,331.329987,335.160004,328.708588,12305500
2018-01-17,337.730011,352.230011,336.410004,351.010010,344.253510,9611700
2018-01-18,350.700012,350.829987,339.149994,340.160004,333.612366,9458600
2018-01-19,341.670013,344.000000,335.750000,337.730011,331.229126,7264400
2018-01-22,335.290009,341.380005,332.040009,338.000000,331.493958,6792900
2018-01-23,338.339996,338.940002,334.809998,335.589996,329.130310,4537800
2018-01-24,336.200012,338.989990,334.140015,334.690002,328.247620,4205400
2018-01-25,336.209991,343.619995,335.299988,343.109985,336.505524,4747500
2018-01-26,344.329987,345.980011,341.250000,343.220001,336.613464,5236300
2018-01-29,341.230011,344.480011,340.100006,340.820007,334.259644,3324900
2018-01-30,339.170013,339.980011,334.160004,337.709991,331.209473,4983100
2018-01-31,360.500000,360.970001,351.619995,354.369995,347.548798,11409600
