Date,Close
2017/12/1,271.380005
2017/12/4,277.970001
2017/12/5,275.540009
2017/12/6,278.269989
2017/12/7,281.970001
2017/12/8,285.899994
2017/12/11,283.160004
2017/12/12,289.940002
2017/12/13,291.839996
2017/12/14,293.880005
2017/12/15,293.940002
2017/12/18,296.140015
2017/12/19,297.25
2017/12/20,297.899994
2017/12/21,295.029999
2017/12/22,295.100006
2017/12/26,295.359985
2017/12/27,295.619995
2017/12/28,296.350006
2017/12/29,294.910004
2018/1/2,296.839996
2018/1/3,297.799988
2018/1/4,296.670013
2018/1/5,308.839996
2018/1/8,310.149994
2018/1/9,318.429993
2018/1/10,320.26001
2018/1/11,328.119995
2018/1/12,336.209991
2018/1/16,335.160004
2018/1/17,351.01001
2018/1/18,340.160004
2018/1/19,337.730011
2018/1/22,338
2018/1/23,335.589996
2018/1/24,334.690002
2018/1/25,343.109985
2018/1/26,343.220001
2018/1/29,340.820007
2018/1/30,337.709991
2018/1/31,354.369995
2018/2/1,356.940002
2018/2/2,348.910004
2018/2/5,328.880005
2018/2/6,340.910004
2018/2/7,348.119995
2018/2/8,329.660004
2018/2/9,332.829987
2018/2/12,343.799988
2018/2/13,343.160004
2018/2/14,344.850006
2018/2/15,356.459991
2018/2/16,355.040009
2018/2/20,353.350006
2018/2/21,352.369995
2018/2/22,355.920013
2018/2/23,356.660004
2018/2/26,363.480011
2018/2/27,364.640015
2018/2/28,362.209991
2018/3/1,349.690002
2018/3/2,344.670013
2018/3/5,352.75
2018/3/6,348.920013
2018/3/7,347.040009
2018/3/8,348.730011
2018/3/9,354.519989
2018/3/12,344.190002
2018/3/13,338.670013
2018/3/14,330.26001
2018/3/15,329.980011
2018/3/16,330.470001
2018/3/19,331.76001
2018/3/20,337.630005
2018/3/21,337.100006
2018/3/22,319.609985
2018/3/23,321
2018/3/26,328.970001
2018/3/27,321.119995
2018/3/28,320.019989
2018/3/29,327.880005
2018/4/2,322.440002
2018/4/3,330.820007
2018/4/4,327.440002
2018/4/5,336.399994
2018/4/6,326.119995
2018/4/9,322.480011
2018/4/10,334.829987
2018/4/11,327.359985
2018/4/12,337.480011
2018/4/13,329.279999
2018/4/16,331.769989
2018/4/17,336.720001
2018/4/18,341
2018/4/19,340.640015
2018/4/20,338.670013
2018/4/23,338.839996
2018/4/24,329.059998
2018/4/25,342.859985
2018/4/26,342.790009
2018/4/27,340.880005
2018/4/30,333.559998
2018/5/1,329.540009
2018/5/2,324.190002
2018/5/3,330.690002
2018/5/4,334.429993
2018/5/7,340.429993
2018/5/8,338.369995
2018/5/9,344.5
2018/5/10,344.070007
2018/5/11,342.459991
